update,dout_sub_data1_moving_rms_50,dout_sub_data2_moving_rms_50
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,3935.641428818,3926.970475381
51,3802.083345160,3793.120185042
52,3520.624291360,3515.520206757
53,3179.695132574,3188.438570245
54,2847.293877331,2859.634764311
55,2550.142885521,2558.617593534
56,2341.045527451,2330.292734401
57,2184.548399071,2168.197068429
58,2048.798212918,2001.571341950
59,1932.740696879,1865.727642932
60,1792.205242966,1689.909830021
61,1584.001129040,1536.334489398
62,1420.598842179,1364.765207520
63,1234.646508670,1123.443617607
64,970.641871517,911.789560307
65,690.350628511,678.004157172
66,531.467097974,496.403269012
67,450.670145957,437.489622146
68,406.808924751,399.016408112
69,367.698802826,358.990274122
70,332.043232297,328.230480173
71,304.674075600,301.084447954
72,277.926896452,274.566250969
73,256.069730905,253.045246999
74,238.456104616,235.290306278
75,224.806072363,222.016424618
76,214.688268360,211.913666518
77,202.740296086,199.664983696
78,190.635102449,188.286082029
79,183.530167236,181.440810341
80,176.581948924,174.472406332
81,168.589968520,167.068819695
82,163.326274328,162.107000642
83,158.362387670,157.102368810
84,154.198545111,153.558053052
85,151.403008462,150.702957787
86,148.265563288,147.701766698
87,145.465836146,144.980405376
88,142.868980938,142.780883074
89,140.503821199,140.270243255
90,138.054236961,138.046566884
91,135.859982124,136.151555051
92,133.598620609,133.854722954
93,131.270742687,131.588376821
94,129.274448696,129.898527430
95,127.100603123,127.715257842
96,125.007747417,125.874871655
97,123.244342206,124.182385684
98,121.223401795,122.048042531
99,119.189873971,120.305787534
100,117.468772750,118.563071582
101,115.213634114,116.453361848
102,113.122627773,114.559292197
103,111.243663062,112.707313998
104,109.041424894,110.442776909
105,107.007004310,108.729801408
106,105.271027082,106.906321075
107,103.416301561,105.017438008
108,101.699925551,103.491431253
109,100.322094419,101.917293640
110,98.720738594,100.254907112
111,97.178048080,98.887998983
112,96.032932447,97.645847545
113,94.703990563,96.302045075
114,93.471312635,95.222924011
115,92.277508171,93.930651014
116,90.954309409,92.592857484
117,89.755160297,91.448853465
118,88.710726683,90.267404653
119,87.355792023,89.024412703
120,86.267591001,87.979327442
121,85.291358799,86.857346428
122,84.036510433,85.741672482
123,83.143705543,84.801886771
124,82.120919207,83.766750308
125,81.056655319,82.654646745
126,80.177877961,81.791604180
127,79.172944152,80.795945443
128,78.153851930,79.729868933
129,77.263690234,78.825251212
130,76.275666219,77.810257862
131,75.287596398,76.738260154
132,74.465243283,75.818780938
133,73.466111916,74.838119393
134,72.558622605,73.870969361
135,71.771456324,73.022805048
136,70.973011370,72.091582231
137,70.221640946,71.333633021
138,69.582527363,70.559680919
139,68.870181812,69.780887273
140,68.181566005,69.000997922
141,67.471644838,68.165678838
142,66.695004739,67.405137574
143,65.856017840,66.678156629
144,65.167695766,65.828436756
145,64.482859738,65.078944587
146,63.767867412,64.343507609
147,63.212953465,63.653650327
148,62.624343053,62.914036590
149,61.910798504,62.206342350
150,61.385165262,61.513550656
151,60.727750305,60.865140856
152,60.121015104,60.416152996
153,59.650537538,59.833574903
154,59.070813678,59.334058637
155,58.545212809,58.850544845
156,58.160555116,58.338388244
157,57.607726664,57.813455675
158,57.040035063,57.330972930
159,56.567837404,56.821809696
