index,class,dividend_signed,divisor_signed,dividend_hex,divisor_hex,expected_hex,divide_by_zero
0,retained_phase1b,1,3,0000000001,0000000003,000000000055555555,0
1,retained_phase1b,-1,3,ffffffffff,0000000003,ffffffffffaaaaaaab,0
2,retained_phase1b,1,-3,0000000001,fffffffffd,ffffffffffaaaaaaab,0
3,retained_phase1b,-1,-3,ffffffffff,fffffffffd,000000000055555555,0
4,retained_phase1b,2,3,0000000002,0000000003,0000000000aaaaaaab,0
5,retained_phase1b,-2,3,fffffffffe,0000000003,ffffffffff55555555,0
6,retained_phase1b,1,2,0000000001,0000000002,000000000080000000,0
7,retained_phase1b,5,2,0000000005,0000000002,000000000280000000,0
8,retained_phase1b,549755813887,1,7fffffffff,0000000001,7fffffffff00000000,0
9,retained_phase1b,-549755813888,1,8000000000,0000000001,800000000000000000,0
10,retained_phase1b,-549755813888,-1,8000000000,ffffffffff,800000000000000000,0
11,retained_phase1b,0,7,0000000000,0000000007,000000000000000000,0
12,retained_phase1b,1,8589934592,0000000001,0200000000,000000000000000000,0
13,retained_phase1b,-1,8589934592,ffffffffff,0200000000,ffffffffffffffffff,0
14,retained_phase1b,3,8589934592,0000000003,0200000000,000000000000000001,0
15,retained_phase1b,-3,8589934592,fffffffffd,0200000000,fffffffffffffffffe,0
16,retained_phase1b,7,0,0000000007,0000000000,000000000000000000,1
17,retained_phase2_32,1,3,0000000001,0000000003,000000000055555555,0
18,retained_phase2_32,-1,3,ffffffffff,0000000003,ffffffffffaaaaaaab,0
19,retained_phase2_32,1,-3,0000000001,fffffffffd,ffffffffffaaaaaaab,0
20,retained_phase2_32,-1,-3,ffffffffff,fffffffffd,000000000055555555,0
21,retained_phase2_32,2,3,0000000002,0000000003,0000000000aaaaaaab,0
22,retained_phase2_32,-2,3,fffffffffe,0000000003,ffffffffff55555555,0
23,retained_phase2_32,549755813887,1,7fffffffff,0000000001,7fffffffff00000000,0
24,retained_phase2_32,-549755813888,1,8000000000,0000000001,800000000000000000,0
25,retained_phase2_32,-549755813888,-1,8000000000,ffffffffff,800000000000000000,0
26,retained_phase2_32,1,8589934592,0000000001,0200000000,000000000000000000,0
27,retained_phase2_32,-1,8589934592,ffffffffff,0200000000,ffffffffffffffffff,0
28,retained_phase2_32,1,17179869184,0000000001,0400000000,000000000000000000,0
29,retained_phase2_32,-1,17179869184,ffffffffff,0400000000,000000000000000000,0
30,retained_phase2_32,3,17179869184,0000000003,0400000000,000000000000000001,0
31,retained_phase2_32,-3,17179869184,fffffffffd,0400000000,ffffffffffffffffff,0
32,retained_phase2_32,7,0,0000000007,0000000000,000000000000000000,1
33,retained_phase2_32,4886718208,257,0123456700,0000000101,0001222343bc43bc44,0
34,retained_phase2_32,4886718465,259,0123456801,0000000103,00011fe5b6dc6abfc1,0
35,retained_phase2_32,4886718722,261,0123456902,0000000105,00011db0f43ccff04e,0
36,retained_phase2_32,4886718979,263,0123456a03,0000000107,00011b84c8874ce5b8,0
37,retained_phase2_32,4886719236,265,0123456b04,0000000109,0001196101f279b883,0
38,retained_phase2_32,4886719493,267,0123456c05,000000010b,000117457032d104cb,0
39,retained_phase2_32,4886719750,269,0123456d06,000000010d,00011531e46c7d9eee,0
40,retained_phase2_32,4886720007,271,0123456e07,000000010f,000113263125c935d8,0
41,retained_phase2_32,4886720264,273,0123456f08,0000000111,000111222a3a23a23a,0
42,retained_phase2_32,4886720521,275,0123457009,0000000113,00010f25a4cdbb1cdc,0
43,retained_phase2_32,4886720778,277,012345710a,0000000115,00010d3077419e093e,0
44,retained_phase2_32,4886721035,279,012345720b,0000000117,00010b4279285f6d31,0
45,retained_phase2_32,4886721292,281,012345730c,0000000119,0001095b833b3792ad,0
46,retained_phase2_32,4886721549,283,012345740d,000000011b,0001077b6f4f9aaf7e,0
47,retained_phase2_32,4886721806,285,012345750e,000000011d,000105a2184d3fc683,0
48,retained_phase2_32,4886722063,287,012345760f,000000011f,000103cf5a24924925,0
49,directed_boundary,0,0,0000000000,0000000000,000000000000000000,1
50,directed_boundary,0,1,0000000000,0000000001,000000000000000000,0
51,directed_boundary,0,-1,0000000000,ffffffffff,000000000000000000,0
52,directed_boundary,0,2,0000000000,0000000002,000000000000000000,0
53,directed_boundary,0,-2,0000000000,fffffffffe,000000000000000000,0
54,directed_boundary,0,3,0000000000,0000000003,000000000000000000,0
55,directed_boundary,0,-3,0000000000,fffffffffd,000000000000000000,0
56,directed_boundary,0,4294967296,0000000000,0100000000,000000000000000000,0
